partyid,partytype,firstname,lastname,sex,dob,nationalid,maritalstatus,annualincome,occupation,companyname,phonenumber,email,addressstreet,city,state,zip,country,lastupdated,srcsystemid
AA000001,IND,Jacob,Walker,M,1947-07-17,203-32-6034,married,21505,"Engineer, materials",Howard-Simmons,447-513-6675,rangellisa@gmail.com,40847 Deanna Greens Suite 042,Little Rock,AR,72000-0000,US,06/07/2023 11:57:22,A01
AA000003,IND,Jennifer,Haley,F,2021-10-06,483-72-9493,single,135183,Furniture designer,"Harris, Ford and Delgado",609-310-9474,navarrosamantha@gmail.com,87079 Perez Plains Suite 680,Fargo,ND,58298-0000,US,06/07/2023 11:57:22,A01
AA000004,IND,Tanya,Farrell,F,2020-05-14,457-86-6988,married,53821,"Scientist, research (maths)","Morrow, Garcia and Lopez",459-760-8821,makayla75@gmail.com,28217 Shannon Plains Suite 397,Charlotte,NC,28370-0000,US,06/07/2023 11:57:22,A01
AA000005,IND,Travis,Hayes,M,2019-09-04,537-99-8884,single,183371,Water engineer,Roy Inc,475-510-9636,jeremyadams@hotmail.com,12412 Davis Springs,New Orleans,LA,70498-0000,US,06/07/2023 11:57:22,A01
AA000006,IND,Jonathan,Davis,M,1943-12-20,046-37-2642,single,62057,Television camera operator,"Luna, Dawson and Garcia",298-196-1305,phillipslisa@gmail.com,922 Rita Stravenue,Charleston,SC,29678-0000,US,06/07/2023 11:57:22,A01
AA000007,IND,Timothy,Bowman,M,2016-02-24,028-42-1807,single,32263,Commercial horticulturist,Nguyen-Stevens,673-792-3565,phelpswhitney@yahoo.com,867 Wheeler Underpass,Des Moines,IA,51792-0000,US,06/07/2023 11:57:22,A01
AA000015,IND,Hannah,Clayton,F,1962-10-16,796-82-3889,single,220049,"Engineer, civil (contracting)","Alvarez, Becker and Bowman",395-437-8975,lisazamora@yahoo.com,39413 Schmidt Bypass Suite 085,Dover,DE,19771-0000,US,06/07/2023 11:57:22,A01
AA000016,IND,David,Wallace,M,1971-10-04,796-11-0790,married,12678,Trading standards officer,Smith LLC,633-754-7889,davidlarson@hotmail.com,Unit 8282 Box 8380,Indianapolis,IN,47722-0000,US,06/07/2023 11:57:22,A01
AA000017,IND,Jeff,James,M,2020-03-11,897-55-1302,married,245592,Dispensing optician,Jimenez-Lane,611-097-1126,csherman@gmail.com,8303 Kristie Brooks,New Orleans,LA,70469-0000,US,06/07/2023 11:57:22,A01
AA000018,IND,Deborah,Lewis,F,2008-10-29,310-78-9762,single,162119,"Scientist, clinical (histocompatibility and immunogenetics)",Miller-Campbell,719-135-9299,laurenperry@hotmail.com,6264 Robinson Branch,Bend,OR,97394-0000,US,06/07/2023 11:57:22,A01
AA000019,IND,Antony,Sibling,M,1947-07-01,078-09-4316,divorced,415723,"Surveyor, commercial/residential",Morgan-Wong,132-679-3284,henrykaren@gmail.com,516 Marcus Plaza,Springfield,MI,68762-0000,US,06/07/2023 11:57:22,A01
