PolicyNumber,EffectiveDate,ExpirationDate,Term,InsuredCustomerNumber,InsuredCompanyName,WrittenPremiumAmount,LineOfBusiness,LineOfBusinessCode,NewOrRenewal,InsuredIndustry,InsuredSector,DistributionChannel,InsuredEIN,InsuredCity,InsuredStateCode,InsuredContactCellPhone,InsuredContactEmail,InsuredNumberOfEmployees,InsuredEmployeeTier,InsuredAnnualRevenue,ProducerProfitCenterID,Territory,ProducerCode,AgentName,GenerationDate
3872128,2022-01-13,2023-01-13,12,9730780,Matrix Interactive Markets,31700.00,Commercial Auto,AUTO,Renewal,Regional Banks,Financial,Agent Email ACORD,98-5630934,Honolulu,HI,083-940-2509,wbradshaw@davis.com,317,2,165148441,27719,West,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
4645902,2022-01-04,2023-01-04,12,5602635,Reinvent Ubiquitous Platforms,146250.00,Commercial Auto,AUTO,Renewal,Environmental Services,Services,Agent Portal,94-3174162,Chicago,IL,518-341-2820,woodwardangela@knight.biz,225,2,90653175,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
5041821,2022-01-02,2023-01-02,12,2619436,Grow Impactful Metrics,346800.00,Commercial Auto,AUTO,New,Agricultural Production,Consumer Non Cyclical,Agent Email ACORD,90-4126939,Madison,WI,724-683-4393,ebenitez@fry.biz,578,3,708239584,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
5737268,2022-01-25,2023-01-25,12,2204109,Integrate Real-Time Functionalities,86640.00,Worker's Comp,WC,New,Regional Banks,Financial,Direct Voice,93-1086852,Boise,ID,449-887-6103,crice@stone.info,456,2,237563688,69393,West,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
7136380,2022-01-28,2023-01-28,12,8834117,Matrix Cutting-Edge Web-Readiness,466480.00,Commercial Auto,AUTO,Renewal,Wholesale,Retail,Agent Email Not-ACORD,91-9785889,Little Rock,AR,057-536-6627,melissa73@hotmail.com,476,2,451723048,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
5128475,2022-01-22,2023-01-22,12,9057903,Grow Compelling Architectures,378000.00,Worker's Comp,WC,Renewal,Environmental Services,Services,Agent Portal,94-4828515,Sioux Falls,SD,666-656-5900,evanwalters@gmail.com,945,3,380743335,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
4734076,2022-01-29,2023-01-29,12,8779475,Exploit B2B Metrics,7300.00,Commercial Auto,AUTO,Renewal,Alcoholic Beverages,Consumer Non Cyclical,Agent Portal,93-3705104,Chattanooga,TN,542-860-7700,stephanieyang@wilson.com,73,1,280289486,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
6727852,2022-01-19,2023-01-19,12,3260606,Implement End-To-End Technologies,3000.00,Commercial Auto,AUTO,Renewal,Office Supplies,Consumer Non Cyclical,Direct Voice,99-2865648,Lexington,KY,706-446-5833,lterry@yahoo.com,30,1,9836370,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
5926803,2022-01-16,2023-01-16,12,6160581,Target 24/365 Partnerships,74910.00,Commercial Auto,AUTO,New,Furniture & Fixtures,Retail,Agent Email ACORD,95-5319848,Alexandria,VA,842-756-7329,acostaleah@gmail.com,227,2,76761639,83896,Southeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
3516131,2022-01-31,2023-01-31,12,5748895,Repurpose Value-Added Synergies,551070.00,Commercial Auto,AUTO,New,Home Improvement,Construction,Direct Voice,93-8610304,Portland,OR,653-687-7240,juliepadilla@green.biz,471,2,187189059,69393,West,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
