claimno,policyid,firstname,lastname,claimsreporteddate,policyeffectivedate,claimstatus,claimdescription,adjudicationstatus,adjudicationdescription,EOBgenerated,claimamount,paidamount,adjudicationdate,paymentdate,beneficiaryname,beneficiaryrelationship,beneficiarypct,checkno,lastupdated
10000001,10000005,Gina,Reed,02/02/2020,2019/12/31,A,Adjudicated,,,Y,426000,,02/11/2020,,Mark Leach,Spouse,100,,14/02/2023 10:26:20
10000002,10000009,Alexandra,Williamson,02/02/2020,2019/12/31,A,Adjudicated,,,N,431000,,02/18/2020,,Caitlin Brown,Spouse,100,,14/02/2023 10:26:20
10000003,10000016,Richard,Silva,02/02/2020,2019/12/31,I,Inprogress,FI,Fraud Investigation In Progress,Y,257000,,,,Kevin King,Son,100,,14/02/2023 10:26:20
10000004,10000026,Daniel,Johnson,02/02/2020,2020/01/01,R,Received,,,Y,164000,,,,Anthony Dunn,Spouse,100,,14/02/2023 10:26:20
10000005,10000031,Morgan,Eaton,02/02/2020,2020/01/01,A,Adjudicated,,,N,339000,,02/10/2020,,Annette Stout,Spouse,100,,14/02/2023 10:26:20
10000006,10000032,Michael,James,02/02/2020,2020/01/02,R,Received,,,N,381000,,,,Jessica Rojas,Daughter,100,,14/02/2023 10:26:20
10000007,10000033,Brandon,Hart,02/02/2020,2020/01/02,A,Adjudicated,,,Y,183000,,03/01/2020,,David Turner,Daughter,100,,14/02/2023 10:26:20
10000008,10000036,Lisa,Stone,02/02/2020,2020/01/02,A,Adjudicated,,,N,75000,,02/24/2020,,Kimberly Jensen,Spouse,100,,14/02/2023 10:26:20
10000009,10000037,Rodney,Hays,02/02/2020,2020/01/03,P,Paid,,,N,385000,385000,,02/24/2020,Amanda Blanchard,Son,100,1001001,14/02/2023 10:26:20
10000010,10000038,Amber,Reilly,02/02/2020,2020/01/03,R,Received,,,N,350000,,,,Jennifer Brooks,Daughter,100,,14/02/2023 10:26:20
10000011,10000042,Brittany,Ramirez,02/02/2020,2020/01/04,R,Received,,,N,153000,,,,Danielle Crawford,Daughter,100,,14/02/2023 10:26:20
10000012,10000048,Angela,Watkins,02/02/2020,2020/01/05,A,Adjudicated,,,N,405000,,03/02/2020,,Lisa Martinez,Daughter,100,,14/02/2023 10:26:20
10000013,10000053,Tanya,Richardson,02/02/2020,2020/01/05,P,Paid,,,N,67000,67000,,02/27/2020,Laura May,Daughter,100,1001001,14/02/2023 10:26:20
10000014,10000055,Marcus,Miles,02/02/2020,2020/01/05,R,Received,,,N,324000,,,,Tammy Wilcox,Son,100,,14/02/2023 10:26:20
10000015,10000056,Karen,Baker,02/02/2020,2020/01/05,R,Received,,,Y,470000,,,,Wendy Davis,Spouse,100,,14/02/2023 10:26:20
10000016,10000065,Lisa,Gomez,02/02/2020,2020/01/06,I,Inprogress,BN,Beneficiary Not Found,N,61000,,,,Damon Bennett,Son,100,,14/02/2023 10:26:20
10000017,10000066,Janice,Ford,02/02/2020,2020/01/06,R,Received,,,N,92000,,,,Angela Martinez,Son,100,,14/02/2023 10:26:20
10000018,10000067,Taylor,Barrera,02/02/2020,2020/01/06,I,Inprogress,PL,Policy Lapsed,Y,204000,,,,Scott Kaufman,Son,100,,14/02/2023 10:26:20
10000019,10000079,Jason,Thomas,02/02/2020,2020/01/08,I,Inprogress,BN,Beneficiary Not Found,N,375000,,,,Scott French,Daughter,100,,14/02/2023 10:26:20
10000020,10000084,David,Walsh,02/02/2020,2020/01/08,I,Inprogress,BN,Beneficiary Not Found,Y,401000,,,,Thomas Gibson,Son,100,,14/02/2023 10:26:20
10000021,10000089,Ryan,Schmitt,02/02/2020,2020/01/08,P,Paid,,,Y,432000,432000,,02/15/2020,Teresa Mcdowell,Spouse,100,1001001,14/02/2023 10:26:20
10000022,10000094,Stacy,Yates,02/02/2020,2020/01/09,P,Paid,,,N,253000,253000,,03/02/2020,Kathy Herring,Spouse,100,1001001,14/02/2023 10:26:20
10000023,10000095,Patricia,Fleming,02/02/2020,2020/01/09,R,Received,,,N,136000,,,,Jordan Leblanc,Son,100,,14/02/2023 10:26:20
10000024,10000098,Jasmine,Cuevas,02/02/2020,2020/01/10,R,Received,,,N,418000,,,,Ruth Freeman,Son,100,,14/02/2023 10:26:20
10000025,10000103,Laura,Valenzuela,02/02/2020,2020/01/12,A,Adjudicated,,,N,228000,,02/27/2020,,Shannon Jones,Spouse,100,,14/02/2023 10:26:20
10000026,10000106,Susan,Bowman,02/02/2020,2020/01/12,P,Paid,,,N,240000,240000,,02/20/2020,Katherine Greene,Daughter,100,1001001,14/02/2023 10:26:20
10000027,10000111,Steve,Peterson,02/02/2020,2020/01/13,R,Received,,,Y,455000,,,,Meagan Mercado,Son,100,,14/02/2023 10:26:20
10000028,10000112,Gloria,Ellis,02/02/2020,2020/01/14,P,Paid,,,Y,140000,140000,,02/19/2020,Angelica Paul,Daughter,100,1001001,14/02/2023 10:26:20
10000029,10000118,Nancy,Frederick,02/02/2020,2020/01/14,A,Adjudicated,,,Y,480000,,02/12/2020,,Amanda Gray,Daughter,100,,14/02/2023 10:26:20
10000030,10000120,Luke,Mendoza,02/02/2020,2020/01/14,A,Adjudicated,,,Y,377000,,02/20/2020,,Vicki Ayers,Daughter,100,,14/02/2023 10:26:20
10000031,10000126,Lee,Randolph,02/02/2020,2020/01/15,P,Paid,,,Y,429000,429000,,03/02/2020,Stephen Gonzales,Spouse,100,1001001,14/02/2023 10:26:20
10000032,10000131,Austin,Sherman,02/02/2020,2020/01/15,P,Paid,,,N,331000,331000,,02/14/2020,George Anderson,Daughter,100,1001001,14/02/2023 10:26:20
10000033,10000137,Kristen,Hamilton,02/02/2020,2020/01/16,R,Received,,,N,205000,,,,Anita Moore,Daughter,100,,14/02/2023 10:26:20
10000034,10000138,Rachel,Blair,02/02/2020,2020/01/17,R,Received,,,Y,107000,,,,Melody Howard,Daughter,100,,14/02/2023 10:26:20
10000035,10000148,Matthew,Bates,02/02/2020,2020/01/18,A,Adjudicated,,,Y,208000,,03/02/2020,,Jorge Stevenson,Spouse,100,,14/02/2023 10:26:20
10000036,10000156,Christopher,Johnson,02/02/2020,2020/01/20,A,Adjudicated,,,Y,397000,,02/16/2020,,Jordan Mcdowell,Daughter,100,,14/02/2023 10:26:20
10000037,10000160,Christopher,Williams,02/02/2020,2020/01/21,I,Inprogress,DP,Document in Process,N,266000,,,,Joseph Rivera,Spouse,100,,14/02/2023 10:26:20
10000038,10000170,Heather,Morris,02/02/2020,2020/01/22,I,Inprogress,DP,Document in Process,Y,452000,,,,Christine Stone,Son,100,,14/02/2023 10:26:20
10000039,10000171,Erin,Boyd,02/02/2020,2020/01/22,I,Inprogress,RA,Requirement Awaited,Y,86000,,,,Lisa Smith,Spouse,100,,14/02/2023 10:26:20
10000040,10000177,Lorraine,Lee,02/02/2020,2020/01/23,A,Adjudicated,,,N,373000,,02/27/2020,,Joshua Harrison,Daughter,100,,14/02/2023 10:26:20
10000041,10000187,Steven,Harrison,02/02/2020,2020/01/23,R,Received,,,Y,466000,,,,Allison Robinson,Son,100,,14/02/2023 10:26:20
10000042,10000188,Christine,Ross,02/02/2020,2020/01/24,A,Adjudicated,,,Y,112000,,02/18/2020,,John Garcia,Daughter,100,,14/02/2023 10:26:20
10000043,10000189,Kristina,Farrell,02/02/2020,2020/01/24,A,Adjudicated,,,Y,109000,,03/01/2020,,Mary Wood,Son,100,,14/02/2023 10:26:20
10000044,10000196,Jennifer,Mcdonald,02/02/2020,2020/01/24,R,Received,,,Y,147000,,,,Robert Tyler,Son,100,,14/02/2023 10:26:20
10000045,10000197,Cynthia,Ingram,02/02/2020,2020/01/24,R,Received,,,N,103000,,,,April Woods,Son,100,,14/02/2023 10:26:20
10000046,10000203,Darryl,Lee,02/02/2020,2020/01/25,R,Received,,,Y,437000,,,,Edward Petersen,Spouse,100,,14/02/2023 10:26:20
10000047,10000207,Jose,Hopkins,02/02/2020,2020/01/26,A,Adjudicated,,,Y,327000,,03/02/2020,,Shawn Hughes,Spouse,100,,14/02/2023 10:26:20
