policyid,customerno,policyquotationdate,policyeffectivedate,sex,firstname,lastname,customerdob,issuestate,city,country,issueage,smokingclass,uwclass,coverageunit,prodcode,yearlypremium,policystatus,sumassured,nationalid,maritalstatus,emailid,phoneno,policyterm,newrenew,producer,policyterminationdate,policyterminationreason,monthlypremium,agentcommision,premiumpaidtilldate,commisionpaidtilldate,beneficiaryname,beneficiaryrelationship,beneficiarypct,lastupdated
10009854,10044698,2022-09-03,2022/11/28,M,Lance,Jones,1964/05/02,ND,Fargo,USA,58,S,2,96,A0001,134,A,96000,648-28-2059,single,nmorales@hotmail.com,850-535-8715,15,R,P1002971,2037-11-28,,12.84,2.82,12.84,2.82,Chad Nicholson,Spouse,100,14/02/2023 10:19:05
10009855,10003819,2022-09-07,2022/11/28,F,Melissa,Buckley,1954/03/16,MN,Saint Paul,USA,68,S,0,223,A0001,312,A,223000,460-61-4123,single,hjohnson@gmail.com,044-317-4474,15,N,P1003923,2037-11-28,,29.9,6.58,29.9,6.58,Dean Jackson,Son,100,14/02/2023 10:19:05
10009856,10028001,2022-08-31,2022/11/28,F,Amanda,Good,1944/04/12,PA,Pittsburgh,USA,78,S,1,92,A0001,128,A,92000,228-02-3162,single,melissa78@hotmail.com,621-033-8657,15,R,P1000681,2037-11-28,,12.27,2.7,12.27,2.7,Rebecca Valdez,Daughter,100,14/02/2023 10:19:05
10009857,10025687,2022-11-08,2022/11/28,M,Michael,Murillo,1975/05/23,MN,Saint Paul,USA,47,N,1,332,A0001,431,A,332000,403-57-4957,married,jennifer22@gmail.com,772-902-8796,15,R,P1000978,2037-11-28,,41.3,9.09,41.3,9.09,Christopher Wright,Daughter,100,14/02/2023 10:19:05
10009858,10014605,2022-11-12,2022/11/28,M,Eric,Ruiz,1952/11/13,MD,Baltimore,USA,70,N,1,94,A0001,122,A,94000,329-03-7510,single,kchapman@yahoo.com,867-579-9239,15,R,P1001909,2037-11-28,,11.69,2.57,11.69,2.57,Christina Johnson,Son,100,14/02/2023 10:19:06
10009859,10012145,2022-09-02,2022/11/28,M,George,Cox,1998/12/19,FL,Jacksonville,USA,23,N,0,193,A0001,221,A,193000,859-43-4243,single,brett81@gmail.com,203-266-1525,15,R,P1000902,2037-11-28,,21.18,4.66,21.18,4.66,Kara Young,Son,100,14/02/2023 10:19:06
10009860,10012771,2022-10-09,2022/11/28,M,Cole,Bentley,1953/01/27,NV,Las Vegas,USA,69,S,0,93,A0001,130,A,93000,354-75-3786,single,linda01@hotmail.com,698-208-6709,15,N,P1001521,2037-11-28,,12.46,2.74,12.46,2.74,Virginia Quinn,Spouse,100,14/02/2023 10:19:06
10009861,10011063,2022-09-04,2022/11/28,F,Donna,Martin,1984/04/30,WI,Milwaukee,USA,38,S,2,389,A0001,466,A,389000,027-16-3093,married,jeremyhall@gmail.com,477-635-4978,15,N,P1000944,2037-11-28,,44.66,9.83,44.66,9.83,Dr. Jessica Jones MD,Daughter,100,14/02/2023 10:19:06
10009862,10015726,2022-11-24,2022/11/28,F,Gloria,Gray,1979/01/26,UT,Salt Lake City,USA,43,N,0,206,A0001,236,A,206000,788-02-7234,married,brookejacobson@hotmail.com,507-949-6082,15,N,P1000964,2037-11-28,,22.62,4.98,22.62,4.98,Shane Warren,Daughter,100,14/02/2023 10:19:06
10009863,10001977,2022-09-23,2022/11/28,M,Alex,Medina,2007/01/08,MT,Billings,USA,15,N,2,382,A0001,439,A,382000,508-41-9692,married,nhernandez@hotmail.com,922-224-2150,15,R,P1000148,2037-11-28,,42.07,9.26,42.07,9.26,Vernon Payne,Son,100,14/02/2023 10:19:06
10009864,10020689,2022-09-16,2022/11/28,F,Sarah,Robertson,1944/06/23,MS,Jackson,USA,78,N,2,438,A0001,569,A,438000,680-68-7858,single,marytaylor@yahoo.com,559-132-4808,15,N,P1000188,2037-11-28,,54.53,12.0,54.53,12.0,Courtney Castro,Son,100,14/02/2023 10:19:06
10009865,10011505,2022-10-17,2022/11/28,M,Joseph,Phillips,1984/02/21,DE,Dover,USA,38,S,0,145,A0001,174,A,145000,066-28-3687,single,chapmanterri@gmail.com,214-803-8846,15,N,P1003227,2037-11-28,,16.67,3.67,16.67,3.67,Melinda Holland,Spouse,100,14/02/2023 10:19:06
